Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:01,2018-07-18 08:43:04,3.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:04,2018-07-18 08:43:04,0.072s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:04,2018-07-18 08:43:06,2.004s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:06,2018-07-18 08:43:06,0.078s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:06,2018-07-18 08:43:08,2.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:08,2018-07-18 08:43:09,0.894s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:09,2018-07-18 08:43:09,0.093s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Payroll Disbursements,Chrome 67.0.3396.99,,2018-07-18 08:43:09,2018-07-18 08:43:18,8.435s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:09,2018-07-18 08:43:12,3.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:12,2018-07-18 08:43:12,0.062s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:12,2018-07-18 08:43:14,2.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:14,2018-07-18 08:43:14,0.062s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:14,2018-07-18 08:43:16,2.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:16,2018-07-18 08:43:17,1.021s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:17,2018-07-18 08:43:18,0.088s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Personal Data Codes,Chrome 67.0.3396.99,,2018-07-18 08:43:18,2018-07-18 08:43:25,7.370s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:18,2018-07-18 08:43:21,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:21,2018-07-18 08:43:21,0.065s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:21,2018-07-18 08:43:23,2.004s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:23,2018-07-18 08:43:23,0.062s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:23,2018-07-18 08:43:24,1.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:24,2018-07-18 08:43:25,0.920s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:25,2018-07-18 08:43:25,0.151s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Payroll Category,Chrome 67.0.3396.99,,2018-07-18 08:43:25,2018-07-18 08:43:34,9.380s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:25,2018-07-18 08:43:29,4.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:29,2018-07-18 08:43:29,0.079s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:29,2018-07-18 08:43:31,2.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:43:31,2018-07-18 08:43:31,0.061s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:31,2018-07-18 08:43:33,2.004s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:33,2018-07-18 08:43:34,0.893s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:34,2018-07-18 08:43:34,0.109s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Payroll Class,Chrome 67.0.3396.99,,2018-07-18 08:43:34,2018-07-18 08:43:44,9.397s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:43:35,2018-07-18 08:43:39,4.003s,PASSED
